URL,NICKNAME
https://www.airlinequality.com/airline-reviews/ab-aviation,AB Aviation
https://www.airlinequality.com/airline-reviews/adria-airways,Adria Airways
https://www.airlinequality.com/airline-reviews/aegean-airlines,Aegean Airlines
https://www.airlinequality.com/airline-reviews/aer-lingus,Aer Lingus
https://www.airlinequality.com/airline-reviews/aero-vip,Aero VIP
https://www.airlinequality.com/airline-reviews/aerocaribbean,Aerocaribbean
https://www.airlinequality.com/airline-reviews/aeroflot-russian-airlines,Aeroflot Russian Airlines
https://www.airlinequality.com/airline-reviews/aeroitalia,AeroItalia
https://www.airlinequality.com/airline-reviews/aerolineas-argentinas,Aerolineas Argentinas
https://www.airlinequality.com/airline-reviews/aeromar,Aeromar
https://www.airlinequality.com/airline-reviews/aeromexico,Aeromexico
https://www.airlinequality.com/airline-reviews/aerosur,Aerosur
https://www.airlinequality.com/airline-reviews/africa-world-airlines,Africa World Airlines
https://www.airlinequality.com/airline-reviews/afriqiyah-airways,Afriqiyah Airways
https://www.airlinequality.com/airline-reviews/aigle-azur,Aigle Azur
https://www.airlinequality.com/airline-reviews/air-algerie,Air Algerie
https://www.airlinequality.com/airline-reviews/air-antilles,Air Antilles
https://www.airlinequality.com/airline-reviews/air-arabia,Air Arabia
https://www.airlinequality.com/airline-reviews/air-astana,Air Astana
https://www.airlinequality.com/airline-reviews/air-austral,Air Austral
https://www.airlinequality.com/airline-reviews/air-bagan,Air Bagan
https://www.airlinequality.com/airline-reviews/air-belgium,Air Belgium
https://www.airlinequality.com/airline-reviews/air-berlin,Air Berlin
https://www.airlinequality.com/airline-reviews/air-botswana,Air Botswana
https://www.airlinequality.com/airline-reviews/air-burkina,Air Burkina
https://www.airlinequality.com/airline-reviews/air-busan,Air Busan
https://www.airlinequality.com/airline-reviews/air-cairo,Air Cairo
https://www.airlinequality.com/airline-reviews/air-canada,Air Canada
https://www.airlinequality.com/airline-reviews/air-canada-rouge,Air Canada rouge
https://www.airlinequality.com/airline-reviews/air-caraibes,Air Caraibes
https://www.airlinequality.com/airline-reviews/air-china,Air China
https://www.airlinequality.com/airline-reviews/air-corsica,Air Corsica
https://www.airlinequality.com/airline-reviews/air-costa,Air Costa
https://www.airlinequality.com/airline-reviews/air-cote-divoire,Air Cote d'Ivoire
https://www.airlinequality.com/airline-reviews/air-djibouti,Air Djibouti
https://www.airlinequality.com/airline-reviews/air-dolomiti,Air Dolomiti
https://www.airlinequality.com/airline-reviews/air-europa,Air Europa
https://www.airlinequality.com/airline-reviews/air-france,Air France
https://www.airlinequality.com/airline-reviews/air-greenland,Air Greenland
https://www.airlinequality.com/airline-reviews/air-iceland-connect,Air Iceland Connect
https://www.airlinequality.com/airline-reviews/air-india,Air India
https://www.airlinequality.com/airline-reviews/air-india-express,Air India Express
https://www.airlinequality.com/airline-reviews/air-italy,Air Italy
https://www.airlinequality.com/airline-reviews/air-juan,Air Juan
https://www.airlinequality.com/airline-reviews/air-kbz,Air KBZ
https://www.airlinequality.com/airline-reviews/air-koryo,Air Koryo
https://www.airlinequality.com/airline-reviews/air-labrador,Air Labrador
https://www.airlinequality.com/airline-reviews/air-macau,Air Macau
https://www.airlinequality.com/airline-reviews/air-madagascar,Air Madagascar
https://www.airlinequality.com/airline-reviews/air-malawi,Air Malawi
https://www.airlinequality.com/airline-reviews/air-malta,Air Malta
https://www.airlinequality.com/airline-reviews/air-mauritius,Air Mauritius
https://www.airlinequality.com/airline-reviews/air-mediterranee,Air Mediterranee
https://www.airlinequality.com/airline-reviews/air-memphis,Air Memphis
https://www.airlinequality.com/airline-reviews/air-moldova,Air Moldova
https://www.airlinequality.com/airline-reviews/air-montenegro,Air Montenegro
https://www.airlinequality.com/airline-reviews/air-namibia,Air Namibia
https://www.airlinequality.com/airline-reviews/air-new-zealand,Air New Zealand
https://www.airlinequality.com/airline-reviews/air-niugini,Air Niugini
https://www.airlinequality.com/airline-reviews/air-north-yukons-airline,Air North Yukon's Airline
https://www.airlinequality.com/airline-reviews/air-nostrum,Air Nostrum
https://www.airlinequality.com/airline-reviews/air-panama,Air Panama
https://www.airlinequality.com/airline-reviews/air-pegasus,Air Pegasus
https://www.airlinequality.com/airline-reviews/air-premia,Air Premia
https://www.airlinequality.com/airline-reviews/air-rarotonga,Air Rarotonga
https://www.airlinequality.com/airline-reviews/air-senegal,Air Senegal
https://www.airlinequality.com/airline-reviews/air-serbia,Air Serbia
https://www.airlinequality.com/airline-reviews/air-seychelles,Air Seychelles
https://www.airlinequality.com/airline-reviews/air-tahiti-nui,Air Tahiti Nui
https://www.airlinequality.com/airline-reviews/air-tanzania,Air Tanzania
https://www.airlinequality.com/airline-reviews/air-transat,Air Transat
https://www.airlinequality.com/airline-reviews/air-vanuata,Air Vanuatu
https://www.airlinequality.com/airline-reviews/air-zimbabwe,Air Zimbabwe
https://www.airlinequality.com/airline-reviews/airasia,AirAsia
https://www.airlinequality.com/airline-reviews/airasia-india,AirAsia India
https://www.airlinequality.com/airline-reviews/airasia-philippines,AirAsia Philippines
https://www.airlinequality.com/airline-reviews/airasia-x,AirAsia X
https://www.airlinequality.com/airline-reviews/airasia-zest,AirAsia Zest
https://www.airlinequality.com/airline-reviews/airbaltic,airBaltic
https://www.airlinequality.com/airline-reviews/air-blue,airblue
https://www.airlinequality.com/airline-reviews/aircalin,Aircalin
https://www.airlinequality.com/airline-reviews/airconnect,AirConnect
https://www.airlinequality.com/airline-reviews/airdo,AIRDO
https://www.airlinequality.com/airline-reviews/airlink,Airlink
https://www.airlinequality.com/airline-reviews/airnorth,Airnorth
https://www.airlinequality.com/airline-reviews/airswift,AirSWIFT
https://www.airlinequality.com/airline-reviews/ajet,AJet
https://www.airlinequality.com/airline-reviews/akasa-air,Akasa Air
https://www.airlinequality.com/airline-reviews/alaska-airlines,Alaska Airlines
https://www.airlinequality.com/airline-reviews/alitalia,Alitalia
https://www.airlinequality.com/airline-reviews/allegiant-air,Allegiant Air
https://www.airlinequality.com/airline-reviews/alliance-air,Alliance Air
https://www.airlinequality.com/airline-reviews/alliance-airlines,Alliance Airlines
https://www.airlinequality.com/airline-reviews/amaszonas,Amaszonas
https://www.airlinequality.com/airline-reviews/american-airlines,American Airlines
https://www.airlinequality.com/airline-reviews/american-eagle,American Eagle
https://www.airlinequality.com/airline-reviews/ana-all-nippon-airways,ANA All Nippon Airways
https://www.airlinequality.com/airline-reviews/anadolujet,AnadoluJet
https://www.airlinequality.com/airline-reviews/andes-lineas-aereas,Andes Líneas Aéreas
https://www.airlinequality.com/airline-reviews/arajet,Arajet
https://www.airlinequality.com/airline-reviews/ariana-afghan-airlines,Ariana Afghan Airlines
https://www.airlinequality.com/airline-reviews/arik-air,Arik Air
https://www.airlinequality.com/airline-reviews/arkefly,Arkefly
